#
# icon/channel logos for shepherd's logo logic
#

#
# THEME : theme name : theme description : preview (user) URL
#

THEME	standard	Standard Free-to-air logos	http://svn.whuffy.com/index.fcgi/wiki/channel_icons
ICON	ABC News 24	frogman_blue    http://barstool.ash.ms/tv-channel-icons/icons-frogman-blue/png/abc-news-24.png
ICON	ABC News 24	frogman_green   http://barstool.ash.ms/tv-channel-icons/icons-frogman-green/png/abc-news-24.png
ICON	ABC News 24	t8_blue	    http://barstool.ash.ms/tv-channel-icons/icons-t8-blue/png/abc-news-24.png
ICON	ABC News 24	yourtv	    http://contentserver.com.au/assets/275718_275459_compressed_abc_radio_24_smallest.gif
ICON    ABC News 24 schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/ABC_News_24.png

ICON	Seven	standard	http://imagestore.ugbox.net/thumb/seven_e69f30e8baff7fcbab28feb8b9.jpg
ICON	Seven	lyngsat		http://www.lyngsat-logo.com/logo/tv/num/7network_aus.jpg
#ICON	Seven	tatey_blue	http://tatey.com/images/au_network_logos/seven.png
ICON	Seven	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/seven.png
ICON	Seven	frogman_blue	http://ash.ms/projects/channels/download/icons-frogman-blue/png/seven.png
ICON	Seven	frogman_green	http://ash.ms/projects/channels/download/icons-frogman-green/png/seven.png
ICON	Seven	frogman_hybrid	http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/seven.png
ICON	Seven	t8_blue		http://ash.ms/projects/channels/download/icons-t8-blue/png/seven.png
ICON	Seven	t8_hybrid	http://ash.ms/projects/channels/download/icons-t8-hybrid/png/seven.png
ICON	Seven	yourtv		http://contentserver.com.au/assets/270212_7.gif
ICON    Seven schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/Seven.png

ICON	7HD	standard	http://imagestore.ugbox.net/thumb/seven_e69f30e8baff7fcbab28feb8b9.jpg
ICON	7HD	lyngsat		http://www.lyngsat-logo.com/logo/tv/num/7network_hd.jpg
#ICON	7HD	tatey_blue	http://tatey.com/images/au_network_logos/seven-hd.png
ICON	7HD	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/seven-hd.png
ICON	7HD	frogman_blue	http://ash.ms/projects/channels/download/icons-frogman-blue/png/seven-hd.png
ICON	7HD	frogman_green	http://ash.ms/projects/channels/download/icons-frogman-green/png/seven-hd.png
ICON	7HD	frogman_hybrid	http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/seven-hd.png
ICON	7HD	t8_blue		http://ash.ms/projects/channels/download/icons-t8-blue/png/seven-hd.png
ICON	7HD	t8_hybrid	http://ash.ms/projects/channels/download/icons-t8-hybrid/png/seven-hd.png
ICON    7HD schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/7HD.png

ICON	7mate	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/seven-mate.png
ICON	7mate	frogman_blue	http://barstool.ash.ms/tv-channel-icons/icons-frogman-blue/png/seven-mate.png
ICON	7mate	frogman_green	http://barstool.ash.ms/tv-channel-icons/icons-frogman-green/png/seven-mate.png
ICON	7mate	t8_blue		http://barstool.ash.ms/tv-channel-icons/icons-t8-blue/png/seven-mate.png
ICON	7mate	yourtv		http://contentserver.com.au/assets/283993_7_mate_80x60.jpg
ICON    7mate schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/7mate.png

ICON	7TWO	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/seven-two.png
ICON    7TWO	frogman_blue    http://ash.ms/projects/channels/download/icons-frogman-blue/png/seven-two.png
ICON    7TWO	frogman_green   http://ash.ms/projects/channels/download/icons-frogman-green/png/seven-two.png
ICON    7TWO	frogman_hybrid  http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/seven-two.png
ICON    7TWO	t8_blue         http://ash.ms/projects/channels/download/icons-t8-blue/png/seven-two.png
ICON    7TWO	t8_hybrid       http://ash.ms/projects/channels/download/icons-t8-hybrid/png/seven-two.png
ICON	7TWO	yourtv		http://contentserver.com.au/assets/270205_7-two.gif
ICON    7TWO schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/7TWO.png

ICON    7flix schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/7flix.png

ICON	Nine	standard	http://imagestore.ugbox.net/thumb/nine_53151871dd779ac2304e05ce9b2.jpg
ICON	Nine	lyngsat		http://www.lyngsat-logo.com/logo/tv/num/9network.jpg
#ICON	Nine	tatey_blue	http://tatey.com/images/au_network_logos/nine.png
ICON	Nine	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/nine.png
ICON	Nine	frogman_blue	http://ash.ms/projects/channels/download/icons-frogman-blue/png/nine.png
